node_id,longitude,latitude,zone_id,borough
1,-74.017946,40.706991,12,Manhattan
2,-74.01793,40.706175,12,Manhattan
3,-74.017808,40.707914,12,Manhattan
4,-74.017575,40.70684,12,Manhattan
5,-74.017503,40.707624,12,Manhattan
6,-74.017398,40.708457,12,Manhattan
7,-74.017363,40.704931,12,Manhattan
8,-74.01712,40.707462,12,Manhattan
9,-74.017011,40.70579,12,Manhattan
10,-74.016979,40.709037,12,Manhattan
11,-74.016922,40.704801,12,Manhattan
12,-74.016765,40.709333,12,Manhattan
13,-74.016753,40.706544,12,Manhattan
14,-74.016626,40.708134,12,Manhattan
15,-74.016513,40.704805,260,Manhattan
16,-74.01644,40.716299,12,Manhattan
17,-74.016375,40.710085,12,Manhattan
18,-74.016338,40.706489,12,Manhattan
19,-74.01598,40.715077,12,Manhattan
20,-74.015905,40.706658,260,Manhattan
21,-74.015828,40.707801,12,Manhattan
22,-74.015769,40.717671,12,Manhattan
23,-74.015693,40.704841,11,Manhattan
24,-74.015598,40.715546,12,Manhattan
25,-74.015522,40.707676,260,Manhattan
26,-74.015383,40.715829,12,Manhattan
27,-74.015219,40.716014,12,Manhattan
28,-74.015185,40.708522,260,Manhattan
29,-74.015066,40.709856,12,Manhattan
30,-74.014898,40.704755,260,Manhattan
31,-74.014874,40.709417,260,Manhattan
32,-74.014734,40.709821,260,Manhattan
33,-74.014666,40.711087,12,Manhattan
34,-74.014543,40.717104,12,Manhattan
35,-74.014486,40.710969,12,Manhattan
36,-74.01443,40.703151,11,Manhattan
37,-74.014392,40.703598,11,Manhattan
38,-74.014382,40.708224,260,Manhattan
39,-74.014325,40.706234,260,Manhattan
40,-74.014297,40.71535,12,Manhattan
41,-74.014296,40.716992,12,Manhattan
42,-74.014281,40.704609,260,Manhattan
43,-74.014057,40.71772,12,Manhattan
44,-74.014054,40.709078,260,Manhattan
45,-74.014007,40.712926,12,Manhattan
46,-74.013961,40.707111,260,Manhattan
47,-74.013945,40.713793,12,Manhattan
48,-74.013889,40.709498,260,Manhattan
49,-74.013808,40.717608,12,Manhattan
50,-74.013772,40.701239,87,Manhattan
51,-74.013741,40.702369,87,Manhattan
52,-74.013731,40.713708,230,Manhattan
53,-74.013592,40.707968,260,Manhattan
54,-74.013559,40.715237,12,Manhattan
55,-74.013518,40.706943,260,Manhattan
56,-74.013495,40.714483,230,Manhattan
57,-74.013353,40.705025,260,Manhattan
58,-74.013327,40.705903,260,Manhattan
59,-74.013263,40.708731,260,Manhattan
60,-74.013216,40.715198,230,Manhattan
61,-74.01319,40.716499,12,Manhattan
62,-74.013188,40.704043,87,Manhattan
63,-74.013114,40.703588,87,Manhattan
64,-74.013082,40.709147,260,Manhattan
65,-74.013027,40.717247,12,Manhattan
66,-74.012998,40.7031,87,Manhattan
67,-74.012992,40.709354,260,Manhattan
68,-74.012962,40.70777,260,Manhattan
69,-74.012915,40.716395,230,Manhattan
70,-74.012879,40.702664,87,Manhattan
71,-74.012839,40.70971,260,Manhattan
72,-74.012834,40.70245,87,Manhattan
73,-74.012787,40.71713,230,Manhattan
74,-74.012646,40.710135,260,Manhattan
75,-74.01257,40.703207,87,Manhattan
76,-74.012336,40.702751,87,Manhattan
77,-74.012328,40.713941,230,Manhattan
78,-74.012285,40.720338,230,Manhattan
79,-74.012265,40.70154,87,Manhattan
80,-74.012144,40.70898,260,Manhattan
81,-74.012098,40.709049,260,Manhattan
82,-74.012055,40.720308,230,Manhattan
83,-74.011996,40.712057,260,Manhattan
84,-74.01199,40.712078,260,Manhattan
85,-74.011947,40.707452,260,Manhattan
86,-74.011935,40.709306,260,Manhattan
87,-74.011886,40.712868,260,Manhattan
88,-74.01185,40.722336,230,Manhattan
89,-74.01178,40.721631,230,Manhattan
90,-74.011713,40.722999,230,Manhattan
91,-74.01171,40.713656,230,Manhattan
92,-74.011674,40.709687,260,Manhattan
93,-74.011653,40.72231,230,Manhattan
94,-74.011591,40.739924,157,Manhattan
95,-74.011583,40.703519,87,Manhattan
96,-74.011576,40.704019,87,Manhattan
97,-74.011569,40.704249,87,Manhattan
98,-74.01155,40.704991,87,Manhattan
99,-74.011527,40.714294,230,Manhattan
100,-74.011524,40.72298,230,Manhattan
101,-74.011505,40.702959,87,Manhattan
102,-74.011387,40.723624,230,Manhattan
103,-74.011383,40.73991,157,Manhattan
104,-74.011349,40.714909,230,Manhattan
105,-74.011295,40.71891,230,Manhattan
106,-74.011267,40.724274,230,Manhattan
107,-74.011248,40.708304,86,Manhattan
108,-74.011246,40.725186,124,Manhattan
109,-74.011232,40.710367,260,Manhattan
