ReqID,Oid,Did,ReqTime,Size
1,46,144,0,6
2,1736,2931,0,1
3,952,1072,2,1
4,498,2128,2,1
5,243,1105,2,2
6,1519,320,2,2
7,350,670,2,1
8,1628,2097,3,1
9,1515,1246,3,2
10,39,2,3,1
11,1118,1124,5,2
12,1553,1456,5,1
13,1759,3942,5,1
14,1679,1761,5,1
15,1045,506,5,3
16,1059,1363,5,1
17,3044,2683,6,1
18,1219,1075,6,1
19,2753,617,6,1
20,752,832,6,1
21,770,2654,6,1
22,1724,415,6,1
23,1560,538,7,1
24,811,1179,7,1
25,1486,2173,8,1
26,1421,1899,8,5
27,988,2506,8,1
28,1597,746,8,1
29,577,3276,9,1
30,1943,1704,9,6
31,1136,1620,9,1
32,529,245,10,1
33,1163,1969,10,1
34,1059,2135,10,1
35,452,687,10,5
36,2552,2289,10,1
37,563,1246,11,1
38,614,817,11,1
39,1246,682,12,1
40,1059,1447,12,6
41,3219,2851,12,5
42,908,370,12,1
43,1030,1889,13,1
44,1424,1865,13,1
45,2254,2416,14,1
46,1194,2060,14,1
47,1004,544,14,1
48,266,1048,15,1
49,1373,1045,15,1
50,1054,1149,15,1
51,782,1254,15,1
52,832,938,15,1
53,2364,1720,16,4
54,431,369,16,1
55,2429,2833,18,1
56,877,2104,19,5
57,2961,2473,20,1
58,952,1818,20,1
59,1205,670,20,1
60,2439,2990,21,4
61,1578,1691,21,5
62,1025,3942,22,2
63,1356,1940,23,1
64,1907,1500,23,1
65,2817,2139,23,1
66,1771,2089,23,1
67,1999,1362,24,2
68,2774,2602,24,2
69,2947,2683,24,1
70,781,524,24,1
71,2111,1257,24,2
72,1495,3100,25,1
73,1668,1983,25,1
74,2314,2083,25,1
75,1613,628,26,2
76,2359,2703,26,1
77,1769,1577,27,1
78,2118,1346,27,5
79,1803,760,27,1
80,650,1517,27,1
81,317,1450,27,1
82,2962,3983,28,4
83,978,1306,28,1
84,72,569,29,6
85,2321,1954,29,1
86,1273,1644,29,4
87,2715,2520,29,5
88,1447,1852,29,1
89,2321,1679,30,1
90,851,1999,30,1
91,2584,3191,30,6
92,1225,1481,31,1
93,1474,1238,31,2
94,1551,1036,31,1
95,63,1476,32,2
96,1502,2273,33,1
97,2514,2449,33,4
98,983,404,33,1
99,2319,2620,33,1
100,3053,3637,33,2
101,805,303,34,1
102,985,2314,34,1
103,1627,1259,34,1
104,2655,2357,34,6
105,3044,2040,34,1
106,1693,1880,34,1
107,2193,1422,34,1
108,2537,2436,37,1
109,1558,2522,37,6
110,1890,1480,37,1
111,2818,2505,37,1
112,2111,2384,38,2
113,3001,1925,38,3
114,529,916,38,1
115,2584,2770,38,1
116,2096,1915,39,2
117,2128,1447,39,6
118,952,1983,39,1
119,1321,1365,40,1
120,2590,1218,40,1
121,2452,2865,40,1
122,2199,2053,41,1
123,2834,2640,41,1
124,1851,1016,41,1
125,1580,1556,41,1
126,1447,901,41,1
127,1735,2257,42,5
128,322,339,42,1
129,2840,1907,42,1
130,1428,1214,43,4
131,2640,2249,44,1
132,1598,1983,44,5
133,1103,966,44,1
134,2990,2281,44,1
135,817,322,44,1
136,1437,2447,44,5
137,1132,1259,44,4
138,2118,1771,45,1
139,955,169,45,1
140,1523,1819,45,1
141,967,543,45,1
142,1514,707,46,1
143,331,2195,47,1
144,2676,2882,47,1
145,958,1016,48,1
146,85,1157,48,1
147,1090,2062,49,1
148,1255,1490,49,1
149,1771,1048,50,5
150,2491,331,50,3
151,1984,1638,50,1
152,2195,1906,50,1
153,1285,901,51,1
154,1132,1784,51,1
155,2550,2640,51,1
156,1059,1541,52,1
157,2097,2201,52,2
158,1724,2177,52,1
159,1081,2157,52,5
160,85,2233,53,2
161,1698,1348,53,1
162,1082,1208,53,1
163,1288,806,53,5
164,2040,2886,53,1
165,1114,1900,54,1
166,880,578,54,1
167,821,321,54,1
168,677,104,54,4
169,1523,1385,54,1
170,2970,2019,55,1
171,1745,1682,55,1
172,1593,1966,56,1
173,1514,1808,56,1
174,1841,2193,56,2
175,2386,2273,56,1
176,162,3942,56,5
177,1081,2943,57,5
178,3091,2555,57,1
179,1335,1563,58,1
180,1236,1021,58,1
181,2177,2478,58,1
182,1330,557,59,1
183,2269,2467,59,3
184,952,2167,60,5
185,1059,1366,60,3
186,1610,412,60,1
187,1194,1828,61,1
188,946,1339,61,1
189,1710,597,62,1
190,1881,1899,62,1
191,2031,1999,62,1
192,2611,2812,63,2
193,973,2338,63,1
194,2077,3008,63,1
195,836,2800,63,2
196,2659,2944,63,1
197,2681,2676,64,1
198,2532,2289,64,2
199,1943,1890,64,1
200,1303,3942,64,1
201,932,1400,64,6
202,1607,1683,65,1
203,3654,2357,65,1
204,1768,1745,65,1
205,1489,800,66,1
206,2159,107,66,6
207,2680,1621,67,1
208,1551,914,67,1
209,2751,3111,68,1
210,2923,3942,68,1
211,2494,1670,68,1
212,1986,1791,68,5
213,2394,2538,69,1
214,598,1060,69,1
215,1249,1249,70,1
216,1030,3185,71,1
217,2760,2104,71,1
