ReqID,Oid,Did,ReqTime,Size
1,1398,734,0,1
2,1251,1940,0,1
3,978,1395,0,2
4,1004,1554,1,1
5,1217,3942,1,1
6,2947,2333,1,1
7,2350,2777,1,1
8,2091,1704,2,1
9,1616,2350,2,1
10,1386,963,2,1
11,1969,1423,4,1
12,308,601,4,1
14,152,566,5,1
15,471,549,5,1
16,1098,1611,5,1
18,2187,2743,6,1
19,3185,2437,6,1
20,1165,3942,6,1
21,2000,1811,6,3
22,1551,933,7,1
23,744,1218,7,1
24,620,1281,7,1
26,481,884,7,1
27,1747,2025,8,1
28,2561,1833,9,1
29,746,250,9,1
31,504,1792,9,1
32,2706,2124,9,1
33,408,617,9,1
34,1609,1754,10,1
36,1779,3942,10,1
37,2491,1495,10,1
39,3156,2612,11,1
40,720,1086,12,2
41,2485,2041,13,1
42,853,1943,13,1
44,2222,2182,13,1
46,344,1747,13,1
47,632,1393,14,2
48,1779,1610,15,1
49,1954,1048,15,1
50,1820,1687,15,2
51,437,260,15,1
52,1096,901,16,1
53,952,807,16,1
54,2503,2954,18,1
55,677,569,19,1
56,1489,2794,19,1
57,2753,2026,20,1
59,1332,2283,20,1
60,2659,1732,20,1
61,1779,1720,22,1
62,437,1135,22,1
63,2110,1333,22,1
64,1759,2148,22,2
65,1324,1642,22,1
67,1929,1816,23,1
68,1535,865,23,1
69,1673,2655,23,1
70,2040,1682,23,1
71,238,562,23,1
72,2390,2260,24,3
73,301,460,24,1
74,1874,3942,24,1
76,2961,2125,25,1
78,1875,2659,26,1
81,2811,1176,27,2
82,1666,855,27,2
83,720,1369,28,1
84,2482,2280,28,1
85,2398,3022,29,2
86,2310,2706,29,1
87,22,1238,29,1
88,272,1356,31,1
89,952,7,31,1
91,1005,716,31,2
92,1735,1185,32,1
93,2038,3276,32,1
94,147,1351,33,1
95,675,303,33,1
96,2221,509,34,1
97,1284,407,34,1
98,1090,675,35,1
99,2550,2291,36,1
100,2009,56,36,1
101,1820,2859,36,1
102,346,1043,36,1
103,1954,193,36,1
104,459,811,36,1
105,3001,1586,36,1
106,26,1622,37,1
109,2560,2037,37,1
110,1474,459,37,1
111,1818,1811,37,2
112,1081,2007,38,1
113,1321,3942,38,3
115,746,728,38,1
118,109,1334,40,2
119,1813,1811,41,1
120,1747,2254,41,1
121,2192,2758,41,1
123,2413,1586,41,1
124,2655,2154,42,1
125,988,3942,42,1
126,1473,2244,42,1
127,597,4026,43,1
128,1647,1219,43,2
129,1868,3052,43,1
130,1603,1760,44,1
131,2602,3942,44,1
132,746,1062,45,1
133,1349,1208,45,3
136,2560,3246,45,1
137,915,1351,45,1
138,43,586,45,1
139,2435,3328,45,1
140,1460,1933,46,2
141,1630,978,46,2
142,1682,1334,46,1
143,726,404,47,1
145,1257,2447,47,1
146,334,47,47,1
147,1055,557,47,1
148,2300,1997,48,2
150,1863,1373,48,1
151,1598,166,49,1
152,1923,901,50,1
153,1525,2173,50,1
154,1648,1004,50,1
156,2394,2139,50,1
157,524,1111,51,2
158,2339,3593,51,1
159,2311,1742,51,1
160,1847,1309,52,1
161,2244,1803,52,1
164,1784,2947,53,1
165,1166,47,53,1
166,2491,2341,53,1
167,2471,3105,53,1
169,48,1735,54,1
170,553,1322,54,1
171,379,1179,54,2
172,258,246,55,1
174,2404,2173,56,1
175,417,720,56,2
176,1565,1570,56,3
178,449,43,58,3
179,1667,1740,59,1
181,2075,1613,59,1
182,1372,1964,59,1
184,1927,3053,60,1
185,571,145,60,2
186,2519,2360,60,1
187,1281,2040,60,1
188,1310,1475,61,1
189,398,1811,61,1
190,970,1268,61,2
192,1900,2000,62,1
193,1346,2026,63,1
195,891,679,63,1
196,1025,3942,63,1
197,1107,938,63,1
199,1704,836,65,3
200,2221,1680,65,2
201,1350,1892,65,2
202,1735,1769,66,1
203,373,414,66,1
204,2743,2134,66,2
205,2664,2416,67,1
206,1785,1238,67,2
207,1282,3276,68,1
208,3277,1884,68,3
210,1542,1081,69,1
211,2224,2680,70,1
212,836,595,70,1
214,1090,1811,71,1
215,1840,1780,71,2
216,952,2300,73,1
217,2865,2613,73,1
218,1600,2133,73,1
219,2483,1964,73,2
220,988,1212,74,1
221,1132,2760,74,1
222,2840,2929,75,1
224,580,1427,77,1
225,529,892,77,1
226,2031,3109,78,2
227,978,1008,78,1
228,183,537,80,1
229,1474,3942,80,2
230,3156,2922,80,1
231,2201,2494,80,3
233,2421,2125,81,1
234,2676,1071,81,1
235,433,566,81,1
236,2635,2109,82,1
237,988,1153,82,1
238,2400,1048,82,1
240,2752,2537,83,1
241,2231,1833,83,1
242,825,181,83,1
243,877,1161,83,1
245,2458,1546,84,1
246,524,1642,84,2
248,2491,665,85,1
249,734,1551,86,1
250,1709,1248,86,2
251,1831,1091,87,2
252,1747,1225,87,1
253,1694,880,88,1
254,1925,671,88,1
255,1538,734,88,1
256,2499,2354,89,1
257,1668,1283,89,1
258,1826,2053,89,1
259,1451,1865,90,1
260,2032,2423,90,1
261,2395,2508,91,1
262,1900,2033,92,1
263,1369,2257,93,1
264,1059,1810,93,1
265,1299,1911,93,1
266,1365,1675,93,1
268,1568,1558,94,1
269,2325,1067,95,1
270,2519,2484,95,1
271,2097,1881,95,1
272,2325,2702,95,1
273,1185,2111,96,1
274,842,628,96,1
275,892,1934,96,1
276,1236,685,96,1
277,1771,430,96,1
279,1631,1914,96,2
281,958,96,97,2
282,720,397,97,1
283,2437,1453,98,3
284,1889,1781,98,1
285,1410,1811,99,1
286,1707,2166,99,1
287,2232,1517,100,1
288,987,1947,100,1
289,1270,880,101,2
290,1007,1371,101,1
291,1910,2260,101,1
292,1332,877,101,1
293,2832,2211,101,2
294,2447,1266,102,2
296,2249,3002,102,1
297,1524,957,102,1
298,1551,340,102,1
299,1622,1597,103,1
300,1678,2538,103,1
301,891,1811,103,2
302,1154,78,104,1
303,1784,1048,104,2
304,2768,2503,105,1
307,1791,2201,105,1
308,731,1162,106,1
309,2537,1907,106,1
310,2199,1598,106,1
311,1071,1668,106,2
312,2273,745,106,1
313,1060,1402,106,1
314,447,1351,107,1
315,2625,3028,107,1
316,1447,2048,108,1
317,915,897,108,2
318,2246,1757,108,2
319,1978,1573,109,1
320,2000,1265,109,3
321,1348,1439,110,1
322,958,1626,111,1
323,1839,928,111,1
324,1447,1801,112,2
326,1523,1793,113,1
328,58,189,114,1
329,1565,787,114,1
330,2205,2718,114,1
331,675,1013,115,1
333,2232,2345,115,1
334,2376,2539,116,1
336,2855,2530,116,1
337,803,304,117,1
339,1625,1214,117,1
340,2807,2311,119,1
341,1059,1707,119,1
343,1122,2184,119,1
344,952,2661,119,1
345,1048,3942,120,1
346,1068,1881,120,1
347,1460,2597,121,1
348,1946,2655,121,2
350,1942,2321,121,1
351,2491,1576,121,1
352,1735,2061,122,3
353,1779,2738,122,1
354,507,720,122,1
355,2200,1811,122,1
357,1964,2753,123,3
358,1826,1934,123,1
360,1088,2447,123,1
361,2186,1356,123,1
363,2235,1805,124,1
365,1400,1349,124,2
366,2077,1429,124,1
367,3395,2342,125,2
368,1833,1593,126,1
370,527,863,126,2
371,1840,2128,126,2
373,2811,2152,126,1
374,2404,2756,127,2
375,15,673,127,1
376,1971,1811,127,1
377,1398,2337,128,1
378,2025,1724,128,1
380,97,1427,128,1
381,781,2444,128,1
382,1863,2007,129,1
383,1959,1059,129,1
384,586,1369,129,3
385,1404,1155,130,1
386,2655,2743,130,1
387,2518,2007,131,1
388,2350,2771,131,1
389,1655,1728,131,1
390,738,2075,131,1
391,865,1460,131,1
392,671,1808,131,1
393,2467,3302,131,1
394,264,432,132,1
395,434,275,133,1
396,1423,1081,133,1
397,2421,2772,134,1
398,2450,2145,134,1
399,1919,2252,135,1
400,1476,1820,135,1
402,3159,2436,135,1
403,1136,2170,135,1
404,2491,1727,136,1
405,2625,2696,137,1
406,2718,2852,137,1
407,1615,2350,137,1
408,1892,1845,137,1
410,2655,1681,138,1
412,2744,3055,138,3
413,2664,1578,139,1
414,121,139,140,1
415,2546,1744,141,1
417,1422,2046,141,3
418,1266,1324,141,2
419,2166,932,141,1
420,1424,836,141,1
421,877,1980,142,3
422,1578,2244,142,1
426,1080,958,145,1
427,1333,814,145,1
428,1166,952,145,1
429,1208,984,147,1
430,1475,434,148,2
431,1405,477,148,1
432,817,331,149,1
433,478,245,149,1
434,524,340,149,1
435,60,712,149,1
436,1518,1368,151,1
437,915,910,152,1
438,2634,3543,152,3
439,369,781,152,1
440,2086,2868,153,2
442,1724,886,155,1
443,1405,974,155,1
444,1791,765,155,1
445,2384,2053,156,1
449,2014,1101,156,2
450,1234,2,157,1
453,2848,2458,158,1
454,1414,1736,158,3
456,901,2025,158,1
458,1388,1487,158,1
459,1275,1915,159,1
460,1368,3942,159,1
461,952,1704,159,1
462,1749,1427,159,2
463,1059,1598,159,1
464,2105,1058,160,1
465,2351,2319,161,1
466,1703,1735,161,1
467,1250,1667,161,1
468,1578,2038,162,1
469,1513,2290,162,1
470,2451,2474,162,2
471,2231,1427,162,1
473,509,566,164,1
474,3133,2408,164,1
475,2201,1679,164,1
476,630,1310,164,1
478,2789,1257,166,1
480,2405,2817,166,1
481,24,870,166,1
482,1424,857,167,1
483,1172,3312,168,1
484,1473,1311,168,1
485,817,748,168,1
486,659,422,168,1
488,1272,1262,170,1
489,461,3942,170,1
490,2451,2137,170,2
491,2325,1811,171,2
492,55,613,171,1
493,932,1915,171,2
494,1852,2075,173,1
495,2955,3711,173,1
496,1597,434,173,2
497,1782,2131,174,1
498,1896,2118,174,2
499,372,290,175,1
500,2864,2361,175,2
501,1013,1364,177,2
502,2314,1678,177,1
504,1247,865,178,1
505,276,1779,179,1
506,1621,1811,180,1
507,2213,1823,180,1
508,1779,1395,180,1
509,964,1058,180,1
510,2350,2561,180,1
512,2205,2112,182,1
513,1779,963,182,1
514,1428,1670,182,1
515,1829,1422,183,1
516,2135,1146,183,2
517,1959,2628,184,1
518,1745,2140,184,2
520,2502,2628,184,1
521,2444,549,184,1
522,1136,2009,185,2
523,663,2137,185,1
524,1167,535,185,1
525,875,369,186,3
527,1822,1333,187,1
528,836,1204,187,1
529,1910,1065,187,1
530,1796,2704,187,1
531,1185,1440,188,1
532,1704,1167,188,1
534,1257,1818,188,1
536,1791,2833,189,1
537,1242,669,190,1
538,2470,3097,190,1
539,1999,1456,191,1
540,19,1793,191,1
541,988,1221,191,1
542,2321,1067,191,1
543,1299,2122,191,1
544,605,1761,191,1
546,2183,3658,192,1
547,1889,1135,192,1
548,1791,1811,192,1
549,2511,1150,193,1
550,2170,1219,193,1
551,1757,1518,193,1
552,1986,770,194,2
553,2719,1257,194,1
554,1908,1048,195,1
555,1284,1570,195,3
556,973,802,195,1
557,1789,1286,196,2
558,2941,2090,196,1
559,2400,1804,196,1
560,1217,422,197,2
561,1827,1817,197,1
562,1765,2040,197,1
563,1292,1249,198,3
564,33,481,198,1
565,2532,1969,199,1
566,2142,1142,199,1
567,2532,2177,200,1
568,2040,2612,201,1
569,2267,1028,202,1
570,535,2210,202,1
571,461,636,203,1
572,2033,1662,203,1
573,121,1179,204,1
574,1321,3912,204,1
575,1502,1899,204,1
576,1610,1185,204,1
577,2600,2519,205,1
578,1704,487,205,1
579,1579,2038,206,1
580,696,1058,206,1
581,2221,1024,207,2
582,1688,862,207,1
583,2273,1724,209,1
584,3027,2735,209,2
585,758,1465,209,1
586,2467,2115,209,1
587,222,854,209,2
589,1868,1609,210,1
590,901,72,210,1
593,1642,322,210,1
594,2535,2165,210,2
595,1840,1266,211,1
596,1793,1397,211,1
597,1704,1081,211,1
598,1036,1351,213,1
599,1768,2225,213,1
600,1718,1546,213,2
601,1691,2961,214,1
602,2644,2013,215,1
603,813,2165,215,1
604,734,255,215,1
606,1558,1846,215,1
609,996,852,217,1
610,2319,2185,217,2
612,1362,580,218,1
613,1240,1204,218,1
614,3052,2582,218,1
615,250,1200,219,1
616,2131,1439,219,1
617,929,1794,219,1
618,2078,1136,220,1
619,1429,1051,220,1
620,1853,548,220,1
621,1949,1744,220,1
622,1447,812,220,1
623,1112,734,220,2
624,1983,1986,221,1
627,1124,1593,222,2
628,2388,1648,222,1
629,948,172,222,1
631,1705,3912,223,1
632,2078,1680,224,1
633,2368,2517,224,1
634,1219,3942,224,3
635,874,720,225,1
636,556,1224,226,1
637,1611,511,226,1
638,2405,1678,226,1
640,1349,769,227,2
641,1555,2485,227,1
642,1597,2046,227,1
643,1594,1840,228,1
644,892,1670,229,1
645,1986,388,229,1
647,2135,38,230,1
648,1059,1393,230,1
649,2769,2109,230,1
650,669,916,230,1
651,1260,1598,230,1
652,1366,35,230,1
653,1193,164,230,2
655,1189,1149,231,1
656,2368,1349,233,3
657,1524,2053,233,1
658,1516,1655,233,1
659,2635,1149,234,1
660,1336,1884,235,1
661,1771,2452,235,1
664,2900,3942,236,1
665,2582,2265,237,3
666,1542,1680,237,1
667,2274,1552,237,1
668,1679,2096,237,1
670,2758,2794,238,2
672,1081,2492,238,1
673,1757,1889,238,1
674,915,312,239,1
675,1495,1526,239,1
678,1965,635,240,1
679,2436,1715,241,1
680,2367,1004,241,1
681,1257,2350,242,1
682,928,1076,243,1
683,161,600,243,1
686,2421,2057,244,2
688,2033,3942,245,1
689,570,2112,245,1
690,3030,2954,246,1
691,542,1008,246,1
692,677,1321,247,1
693,2461,159,248,1
694,3273,1447,248,1
695,1745,2848,248,1
696,2769,2393,248,1
698,761,434,250,1
699,2803,3942,250,1
702,1363,1794,251,1
703,1759,2137,251,1
704,1004,620,251,1
705,2201,482,251,1
706,2699,2213,251,1
707,2111,1218,252,2
709,2677,980,253,1
711,2815,2261,254,1
712,1502,738,254,2
713,2578,1001,254,1
714,1740,2518,255,1
715,2896,2467,255,1
716,1818,1570,255,1
717,294,720,255,1
718,955,1592,255,3
719,2755,2400,255,1
722,1952,3942,257,1
723,1194,1043,257,1
724,1090,504,257,1
725,1631,706,257,1
727,1760,1281,257,1
728,1064,1811,258,2
729,40,1629,258,2
731,1769,509,258,1
736,1822,1976,259,1
737,854,1149,259,1
738,200,1284,259,1
740,1344,1788,260,1
741,1780,1943,260,1
742,2428,1081,260,1
743,2248,2233,260,1
744,2646,2009,262,1
745,2706,1668,262,1
746,2337,886,262,1
747,2769,1783,262,1
748,2033,2174,263,1
749,2388,2025,264,1
750,2372,785,264,1
751,302,1281,264,2
752,736,1424,265,1
753,1179,1811,266,1
754,1700,2157,266,1
755,1629,1366,267,1
756,1654,3942,267,2
757,1336,1285,267,1
758,1668,2110,267,1
759,1475,578,267,1
760,2077,1107,268,2
761,1566,1185,268,1
762,1319,746,268,1
763,566,1421,268,1
765,379,1332,269,1
766,1349,3942,269,1
767,1067,1274,269,1
769,2097,2532,270,1
771,3277,345,271,2
772,921,459,272,1
773,1552,1279,272,2
774,2049,1257,273,2
775,2378,1799,273,1
776,1166,331,273,1
778,3159,2851,274,2
779,1999,1397,274,2
780,266,800,274,1
781,1757,1025,274,1
782,999,192,275,1
784,597,47,275,3
786,1120,2021,277,1
787,1179,1811,277,1
789,1570,3198,278,2
790,2180,56,279,1
791,682,1260,280,1
792,1080,1899,281,1
793,1679,1954,281,3
795,2139,1468,281,1
796,2078,2184,282,1
800,2048,2115,284,3
802,2792,1780,284,2
805,910,1476,285,1
806,1221,789,285,1
808,398,3942,286,3
809,2028,1468,286,1
812,1553,1698,286,1
813,933,904,286,1
814,1489,1811,286,1
815,1892,1697,287,1
816,1698,2144,287,1
817,2346,2173,288,1
818,825,1994,288,1
820,2613,3942,290,1
822,1802,2450,291,1
823,1257,1536,292,2
825,2193,2520,292,1
827,40,58,293,1
828,1911,891,293,1
829,1454,1336,294,1
830,2551,2354,294,1
831,1745,1366,294,1
833,2712,2931,295,1
834,896,2719,295,1
835,507,1158,295,1
836,1161,2069,296,2
837,1525,2310,296,1
838,2961,1077,296,3
839,2333,1371,297,1
840,1136,1247,297,1
841,1371,1048,297,1
845,1233,65,298,1
846,3179,2840,299,1
847,979,1580,299,1
848,1351,1556,299,1
849,533,1101,300,1
850,712,3,301,1
853,1497,952,302,1
856,2715,2476,303,1
857,1682,1655,303,1
858,2109,1971,303,1
859,2979,1043,304,1
860,495,2213,304,1
861,471,2201,304,2
862,1759,2300,304,2
863,2420,2733,306,1
864,915,1438,306,1
865,133,1892,306,1
868,1698,1023,307,1
869,1423,3942,308,2
870,2560,1204,308,1
871,1768,1642,308,1
872,1502,1018,309,3
873,901,1517,309,1
874,1705,2811,310,2
875,2684,1643,310,1
878,1826,2733,312,1
879,1197,1538,312,1
880,1881,1523,313,1
881,2310,2853,313,2
882,2726,2435,313,1
883,2400,1969,313,1
884,315,340,313,1
885,1925,2187,314,1
886,1943,2478,314,1
887,1363,1698,314,1
888,3942,1811,314,1
889,568,980,315,3
890,2791,1615,315,1
891,2720,2432,316,1
892,2739,2582,316,1
893,2210,1330,316,1
894,1478,79,317,1
896,1333,1966,317,1
897,1154,720,317,1
898,3543,1874,318,1
899,2961,2203,318,2
900,2894,1896,318,1
901,1701,2091,318,1
903,1826,440,319,2
905,1863,2075,319,1
906,3113,3111,320,1
908,1881,1536,320,1
909,1892,2273,320,1
911,1685,3942,321,1
912,417,1759,321,1
913,2273,1569,322,1
915,1811,3942,322,1
916,2590,1990,323,1
917,2000,1700,323,1
919,2491,2124,324,1
920,3298,3962,324,1
921,1542,509,324,1
922,2359,2201,325,1
923,2633,2542,325,1
925,3407,1648,325,1
926,2904,856,326,1
928,1059,1915,326,2
929,678,687,327,1
930,1925,2488,327,1
931,946,419,328,1
932,996,1142,328,1
933,2069,3942,328,1
934,1690,1293,328,3
935,928,2206,328,1
936,316,1273,328,1
937,1242,1208,329,2
938,617,987,329,1
939,2423,1277,329,1
940,1237,2680,330,1
941,2597,3276,330,1
943,1497,1811,331,1
944,28,1525,331,1
945,1303,1166,332,2
946,1722,1643,332,1
947,2038,3146,332,1
949,2521,2720,334,1
950,2046,2740,334,1
951,2343,2768,334,1
952,586,2459,335,1
953,183,1244,335,1
954,2853,1530,337,1
955,628,799,337,1
956,649,11,337,1
957,1249,1929,337,1
958,796,332,338,1
959,2350,3352,339,1
960,3352,3942,339,1
961,1185,1934,339,1
962,2295,2919,339,1
963,921,2119,340,3
964,1481,1430,340,3
965,1910,1232,340,1
966,2637,1010,340,1
967,966,1218,341,1
968,2914,1811,341,1
969,1849,1610,342,1
970,1813,1353,342,2
971,1892,2848,343,1
972,952,33,343,1
973,2502,2122,344,1
974,2000,60,344,1
975,1398,1840,344,1
976,42,3942,344,1
977,2072,1911,344,1
978,1154,887,345,2
979,589,1685,345,1
980,3862,3983,345,1
981,674,1613,345,1
983,2018,2764,347,1
984,1727,2245,347,2
985,1336,1892,347,1
986,622,1522,348,1
987,1424,2464,348,1
988,2359,1265,349,1
989,1282,1059,349,2
990,2187,2097,349,2
991,1781,1365,349,1
992,1900,3942,349,1
993,916,1253,349,1
994,1447,2007,349,1
996,157,2155,351,1
